sweep,parameter,value,coh_mean,coh_min,coh_max,asym_mean,vort_mean,vel_var_mean,stress_xx_mean,stress_yy_mean,stress_xy_mean,n_samples
2,khra_amp,0.058,0.657381,0.648200,0.684700,37.723249,0.023910,0.001869,-0.000644,0.000581,-0.000241,501
2,khra_amp,0.06,0.647490,0.645700,0.664500,40.040846,0.022388,0.001647,-0.000689,0.000596,-0.000268,501
2,khra_amp,0.06,0.656060,0.646200,0.684700,38.084499,0.023687,0.001841,-0.000648,0.000583,-0.000242,501
2f,khra_amp,0.025,0.688106,0.686400,0.692100,30.977271,0.029397,0.002723,-0.000531,0.000514,-0.000133,501
2f,khra_amp,0.025,0.686305,0.679000,0.689000,31.333604,0.028900,0.002658,-0.000533,0.000520,-0.000138,501
2f,khra_amp,0.026,0.686348,0.685000,0.690500,31.335943,0.028904,0.002666,-0.000537,0.000520,-0.000137,501
2f,khra_amp,0.026,0.684966,0.678800,0.688700,31.611230,0.028536,0.002615,-0.000538,0.000525,-0.000142,501
2f,khra_amp,0.027,0.686059,0.684900,0.688700,31.406963,0.028592,0.002589,-0.000530,0.000520,-0.000152,501
2f,khra_amp,0.027,0.684941,0.679600,0.687300,31.630165,0.028346,0.002553,-0.000529,0.000524,-0.000157,501
2f,khra_amp,0.028,0.684600,0.683300,0.686400,31.710566,0.028282,0.002536,-0.000530,0.000527,-0.000159,501
2f,khra_amp,0.028,0.683877,0.680200,0.685900,31.855461,0.028118,0.002513,-0.000531,0.000529,-0.000162,501
2f,khra_amp,0.029,0.683748,0.682300,0.685000,31.897567,0.028101,0.002493,-0.000527,0.000532,-0.000168,501
2f,khra_amp,0.029,0.683365,0.680900,0.685000,31.976212,0.028003,0.002481,-0.000528,0.000531,-0.000170,501
2f,khra_amp,0.03,0.682033,0.680600,0.683300,32.258404,0.027754,0.002450,-0.000533,0.000536,-0.000174,501
2f,khra_amp,0.03,0.682038,0.680600,0.683300,32.259532,0.027731,0.002449,-0.000533,0.000534,-0.000174,501
